config,acc_mean,acc_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std
logistic_regression|all,0.7107,0.0712,0.7118,0.0701,0.7064,0.0824,0.709,0.0711,0.8196,0.0327
logistic_regression+pca|all,0.6932,0.0701,0.6929,0.0714,0.7,0.0739,0.6907,0.0719,0.8003,0.0258
logistic_regression+selectkbest|all,0.693,0.06,0.6903,0.0636,0.7134,0.0445,0.6896,0.0637,0.7257,0.0305
svm_linear|all,0.7048,0.052,0.7026,0.0538,0.7194,0.0487,0.7019,0.0536,0.7916,0.0516
svm_linear+pca|all,0.7045,0.0422,0.7036,0.0396,0.7113,0.0607,0.7017,0.0402,0.7954,0.0277
svm_linear+selectkbest|all,0.6449,0.0623,0.6421,0.063,0.6644,0.0681,0.641,0.0638,0.7234,0.0205
