config,acc_mean,acc_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std
svm_linear|baseline_acoustic(625d),0.7048,0.0587,0.7045,0.0577,0.7139,0.0673,0.7037,0.0577,0.8049,0.0377
svm_linear|prosody_only(11d),0.5544,0.0504,0.5542,0.0483,0.4861,0.2433,0.5175,0.1039,0.4581,0.0481
svm_linear|fluency_only(4d),0.5176,0.0538,0.5371,0.0457,0.1833,0.2261,0.4164,0.1164,0.3785,0.0675
svm_linear|prosody_and_fluency(15d),0.518,0.0638,0.5317,0.0521,0.2491,0.3064,0.4243,0.1304,0.4144,0.0809
svm_linear|baseline_plus_prosody(636d),0.7228,0.0488,0.7233,0.0487,0.7285,0.05,0.7221,0.0487,0.8086,0.0343
svm_linear|baseline_plus_fluency(629d),0.6988,0.0508,0.6987,0.0502,0.7073,0.0585,0.6979,0.0502,0.8027,0.0327
svm_linear|all(640d),0.7048,0.052,0.7026,0.0538,0.7194,0.0487,0.7019,0.0536,0.7916,0.0516
